Name;Symbol;Date;High;Low;Open;Close;Volume;Marketcap
Polkadot;DOT;12/09/2020 23:59;52.801.564.443;451.601.890.336;465.060.204.942;513.703.693.238;753.745.736.547.038;438.008.275.089.405
Polkadot;DOT;13/09/2020 23:59;547.880.118.415;480.682.563.725;514.504.128.492;529.795.089.208;109.947.571.412.633;451.728.566.933.471
Polkadot;DOT;14/09/2020 23:59;560.278.216.192;512.642.457.586;529.641.992.598;534.870.930.493;100.825.971.211.711;456.056.471.356.071
Polkadot;DOT;15/09/2020 23:59;545.191.673.581;509.570.589.956;536.662.597.088;509.570.589.956;897.864.383.943.973;434.484.194.061.479
Polkadot;DOT;16/09/2020 23:59;528.132.266.974;498.621.122.677;506.896.260.716;508.032.210.406;792.360.520.604.375;433.172.498.268.753
Polkadot;DOT;17/09/2020 23:59;541.767.106.568;506.174.676.491;508.032.210.406;533.630.111.171;776.350.363.028.767;454.998.489.608.848
Polkadot;DOT;18/09/2020 23:59;54.591.393.806;510.855.329.866;534.170.931.259;524.576.354.638;683.398.179.627.801;447.278.824.879.357
Polkadot;DOT;19/09/2020 23:59;525.569.082.766;482.498.328.096;525.323.704.402;492.541.065.463;605.268.040.060.128;419.964.009.085.282
Polkadot;DOT;20/09/2020 23:59;49.744.662.855;442.491.784.433;492.891.513.847;467.244.901.762;798.507.890.721.618;39.839.529.316.032
Polkadot;DOT;21/09/2020 23:59;470.090.265.319;395.047.641.615;467.244.901.762;409.459.740.125;109.673.665.695.391;349.124.907.707.478
Polkadot;DOT;22/09/2020 23:59;420.859.619.132;391.822.509.547;408.540.181.432;417.446.304.487;673.117.343.731.449;355.934.633.481.572
Polkadot;DOT;23/09/2020 23:59;431.589.082;397.410.084;416.855.388;403.141.516;5.570.627.661.810.190;3.437.376.885.779.540
Polkadot;DOT;24/09/2020 23:59;439.995.006;399.318.391;402.136.775;438.197.305;4.375.734.456.525.580;37.362.792.684.642.500
Polkadot;DOT;25/09/2020 23:59;452.789.841;426.206.226;437.626.455;442.095.446;4.251.911.192.614.030;3.769.516.670.958.210
Polkadot;DOT;26/09/2020 23:59;446.401.668;42.425.426;442.224.712;434.766.168;3.297.451.761.075.380;37.070.237.560.355.600
